movieId,title,mean,count
318,"Shawshank Redemption, The (1994)",4.429022082018927,317
858,"Godfather, The (1972)",4.2890625,192
2959,Fight Club (1999),4.272935779816514,218
1276,Cool Hand Luke (1967),4.271929824561403,57
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.268041237113402,97
904,Rear Window (1954),4.261904761904762,84
1221,"Godfather: Part II, The (1974)",4.25968992248062,129
48516,"Departed, The (2006)",4.252336448598131,107
1213,Goodfellas (1990),4.25,126
912,Casablanca (1942),4.24,100
